test_name,section,module,question_number,question_type,correct_answer,passage,question_stem,choice_A,choice_B,choice_C,choice_D,key
sat-practice-test-5-digital,Reading and Writing,2,16,Free Response,D,ting ber of important reading and writing skills. Each ich may include a table or graph. Read each passage,best answer to the question based on the passage(s). oice with four answer choices. Each question has a,,,,,sat-practice-test-5-digital__Reading_and_Writing__2__16
sat-practice-test-5-digital,Reading and Writing,2,17,Multiple Choice,B,"In dialects of English spoken in Scotland, the “r” sound is strongly emphasized when it appears at the end of syllables (as in “car”) or before other consonant sounds (as in “bird”). English dialects of the Upland South, a region stretching from Oklahoma to western Virginia, place similar emphasis on “r” at the ends of syllables and before other consonant sounds. Historical records show that the Upland South was colonized largely by people whose ancestors came from Scotland. Thus, linguists have concluded that _______",Which choice most logically completes the text?,the English dialects spoken in the Upland South acquired their emphasis on the “r” sound from dialects spoken in Scotland.,emphasis on the “r” sound will eventually spread from English dialects spoken in the Upland South to dialects spoken elsewhere.,the English dialects spoken in Scotland were influenced by dialects spoken in the Upland South.,people from Scotland abandoned their emphasis on the “r” sound after relocating to the Upland South.,sat-practice-test-5-digital__Reading_and_Writing__2__17
sat-practice-test-5-digital,Reading and Writing,2,18,Multiple Choice,D,"- ~ - - - - - - How did whales, once no bigger than seals, evolve to become the largest animals on Earth? Brazilian biologist Mariana Nery believes the answer might be found in whales’ DNA. In January 2023, Nery and her colleagues _______ a study showing changes over time in four whale genes associated with body size.",Which choice completes the text so that it conforms to the conventions of Standard English?,published,publishing,having published,to publish odule,sat-practice-test-5-digital__Reading_and_Writing__2__18
sat-practice-test-5-digital,Reading and Writing,2,20,Multiple Choice,,"When they were first introduced to western Europe from Byzantium in the eleventh century, table forks were met with much resistance. The Bishop of Ostia, St. Peter Damian, condemned the eating utensils because he considered _______ dangerous and unnecessary luxury items.",Which choice completes the text so that it conforms to the conventions of Standard English?,them,this,that,it,sat-practice-test-5-digital__Reading_and_Writing__2__20
sat-practice-test-5-digital,Reading and Writing,2,21,Multiple Choice,336,"Julia Alvarez’s 1994 novel In the Time of the Butterflies, a fictionalized account of the lives of the Mirabal _______ can serve as a starting point for those wanting to explore how the rule of dictator Rafael Trujillo has been represented in Dominican American literature.",Which choice completes the text so that it conforms to the conventions of Standard English?,"sisters, and",sisters and,"sisters,",sisters 25 CONTINUE,sat-practice-test-5-digital__Reading_and_Writing__2__21
sat-practice-test-5-digital,Reading and Writing,2,22,Multiple Choice,B,,Which choice best describes data from the graph that support Ibáñez and colleagues’ conclusion?,"Growth with nitrogen under the current climate exceeded growth with nitrogen under moderate change, but the latter exceeded growth without nitrogen under extreme change.","Growth without nitrogen under the current climate exceeded growth without nitrogen under moderate change, but the latter exceeded growth with nitrogen under extreme change.","Growth with nitrogen under moderate change exceeded growth without nitrogen under moderate change, but the latter exceeded growth without nitrogen under extreme change.","Growth with nitrogen under moderate change exceeded growth without nitrogen under the current climate, but the latter exceeded growth with nitrogen under extreme change. Mo",sat-practice-test-5-digital__Reading_and_Writing__2__22
sat-practice-test-5-digital,Reading and Writing,2,23,Multiple Choice,D,"Fans of the film Moana (2016) may not know that the deep and humorous voice behind the _______ belongs to comedian, actor, and musician Jemaine Clement. The versatile performer has appeared in everything from television commercials to action movies, but voice acting, specifically, has become a notable part of his career.",Which choice completes the text so that it conforms to the conventions of Standard English?,character Tamatoa the crab,"character Tamatoa the crab,","character: Tamatoa the crab,","character, Tamatoa the crab",sat-practice-test-5-digital__Reading_and_Writing__2__23
sat-practice-test-5-digital,Reading and Writing,2,24,Multiple Choice,D,"In her 1983 book The Managed Heart: Commercialization of Human Feeling, sociologist Arlie Russell Hochschild first explored at length her conception of a “sociology of emotions”—the idea that the various cultural and ideological frameworks a person has internalized (class, gender, political affiliation, etc.) _______ each emotional reaction that person has within a situation.",Which choice completes the text so that it conforms to the conventions of Standard English?,underlies,is underlying,underlie,has been underlying,sat-practice-test-5-digital__Reading_and_Writing__2__24
sat-practice-test-5-digital,Reading and Writing,2,25,Multiple Choice,A,"American abstract artist Richard _______ his installations to make passersby keenly aware of how one’s movements are affected by the physical features of one’s environment, assembles large-scale steel plates into sculptures that dominate the outdoor spaces they occupy.",Which choice completes the text so that it conforms to the conventions of Standard English?,Serra is intending,"Serra, intends","Serra, intending",Serra intends Mo,sat-practice-test-5-digital__Reading_and_Writing__2__25
sat-practice-test-5-digital,Reading and Writing,2,26,Multiple Choice,A,"In 1949, Frank Zamboni developed an ice rink resurfacing machine. As Zamboni’s machine moved along the rink’s surface, it first scraped off the top layer of ice. _______ it sprayed water into the deep grooves left behind by customers’ skates. Lastly, it smoothed over the newly formed ice.",Which choice completes the text with the most logical transition?,"For example,","Next,","Similarly,","In contrast,",sat-practice-test-5-digital__Reading_and_Writing__2__26
sat-practice-test-5-digital,Reading and Writing,2,27,Multiple Choice,25,"In 2014, Nestor Gomez won his first-ever storytelling competition, relating a tale about his life as a Guatemalan immigrant living in Chicago. _______ in 2017, Gomez created the show 80 Minutes Around the World as a platform for others to share stories about their immigration experiences.",Which choice completes the text with the most logical transition?,"Instead,","For example,","Later,","In other words, odule",sat-practice-test-5-digital__Reading_and_Writing__2__27
sat-practice-test-5-digital,Reading and Writing,2,28,Free Response,,,,,,,,sat-practice-test-5-digital__Reading_and_Writing__2__28
sat-practice-test-5-digital,Reading and Writing,2,29,Multiple Choice,,"In retrospect, one of the lessons of the 2003 Human Genome Project is that a gene is affected by many factors, not the least of which is its interactions with the protein products of other genes. _______ rather than just focusing on the human genome, efforts to better understand gene mutations related to disease have begun to consider the human proteome, the complete set of proteins expressed by human genes.",Which choice completes the text with the most logical transition?,"In other words,","That said,","For example,","Accordingly, 27 CONTINUE",sat-practice-test-5-digital__Reading_and_Writing__2__29
sat-practice-test-5-digital,Reading and Writing,2,31,Multiple Choice,,"While researching a topic, a student has taken the following notes: • In astronomy, the mass of stars can be described in units called solar masses. • One solar mass is roughly equal to the mass of the Sun. • The mass of the star Proxima Centauri is 0.122 solar masses. • The mass of the star Sirius A is 2.063 solar masses. The student wants to emphasize the mass of Sirius A.",Which choice most effectively uses relevant information from the notes to accomplish this goal?,"The mass of stars, like Proxima Centauri, can be described in units called solar masses.","In astronomy, the mass of stars can be described in units called solar masses, and one solar mass is roughly equal to the mass of the Sun.","The Sun is more massive than Proxima Centauri, which has a mass of 0.122 solar masses.","With a mass of 2.063 solar masses, Sirius A is more massive than the Sun. Mo",sat-practice-test-5-digital__Reading_and_Writing__2__31
sat-practice-test-5-digital,Reading and Writing,2,32,Multiple Choice,,"While researching a topic, a student has taken the following notes: • A lever is a simple machine consisting of a rigid beam and a fulcrum. • The fulcrum is the point about which the beam pivots. • The input force (effort) is the force applied to the lever. • The output force (load) is the force that the lever exerts on another object. • In first-class levers, the fulcrum is located between the effort and the load. • In second-class levers, the load is located between the effort and the fulcrum. The student wants to contrast first-class levers and",second-class levers. Which choice most effectively uses relevant information from the notes to accomplish this goal?,"In levers, the effort is the force applied to the lever; the load, in contrast, is the force that the lever exerts on another object.","In first-class and second-class levers, the fulcrum and the load are in different locations.","First-class levers are simple machines consisting of a rigid beam and a fulcrum, but then again, the same is true of second-class levers.","In first-class levers, the fulcrum is located between the effort and the load, but in second-class levers, the load is located between the effort and the fulcrum. ST If you finish before time is called, you m Do not turn to any ot odule",sat-practice-test-5-digital__Reading_and_Writing__2__32
sat-practice-test-5-digital,Math,1,1,Free Response,,"- - - - - - ~ - - - - - - ~ ............................................................................................................................................................................................................................................................................................................... 14 A store sells two different-sized containers of blueberries. The store’s sales of these blueberries totaled 896.86 dollars last month. The equation 4.51x+6.07y = 896.86 represents this situation, where x is the number of smaller containers sold and y is the number of larger containers sold.","According to the equation, what is the price, in dollars, of each smaller container?",,,,,sat-practice-test-5-digital__Math__1__1
sat-practice-test-5-digital,Math,1,3,Free Response,),"y ... "" --8 I \ --7 I --6 \ I ' --5 I \ --4 I --3 \ I ' --2 \ I --1 I \ 2 1u 1 ' 19 lf 11 X +-1 ,. The graph of the linear function f is shown, where",y = f x . What is the y-intercept of the graph of f ?,"(0,0)",,,,sat-practice-test-5-digital__Math__1__3
sat-practice-test-5-digital,Math,1,4,Multiple Choice,,s+7r = 27 r = 3,"What is the solution (r,s)to the given system of equations?","6,3","3,6","3,27","27,3",sat-practice-test-5-digital__Math__1__4
sat-practice-test-5-digital,Math,1,5,Multiple Choice,,The table shows selected values from function f. x f(x) −1 16 0 17 1 18 2 19,Which of the following is the best description of function f ?,Decreasing linear,Increasing linear,Decreasing exponential,Increasing exponential odule,sat-practice-test-5-digital__Math__1__5
sat-practice-test-5-digital,Math,1,6,Free Response,,,\,,,,,sat-practice-test-5-digital__Math__1__6
sat-practice-test-5-digital,Math,1,7,Free Response,),"23, 27, 27, 32, 35, 36, 52",What is the range of the 7 scores shown? 33 CONTINUE,,,,,sat-practice-test-5-digital__Math__1__7
sat-practice-test-5-digital,Math,1,9,Multiple Choice,,"- - - - - - - - - ~ The equation x+y = 1,440 represents the number of minutes of daylight (between sunrise and sunset), x, and the number of minutes of non-daylight, y, on a particular day in Oak Park, Illinois. If this day has","670 minutes of daylight, how many minutes of non-daylight does it have?",670,770,"1,373","1,440",sat-practice-test-5-digital__Math__1__9
sat-practice-test-5-digital,Math,1,10,Multiple Choice,,"- - - - - - - - - ~ Scott selected 20 employees at random from all 400 employees at a company. He found that 16 of the employees in this sample are enrolled in exactly three professional development courses this year. Based on Scott’s findings, which of the following is the best estimate of the number of employees at the company who are enrolled in exactly three professional development courses this year?","If 4x−28 = −24, what is the value of x−7 ?",−24,−22,−6,−1 Mo,sat-practice-test-5-digital__Math__1__10
sat-practice-test-5-digital,Math,1,11,Free Response,,Note: Figure not drawn to scale. ............................................................................................................................................................................................................................................................................................................... 19 92π,What is the value of tan ?,,,,,sat-practice-test-5-digital__Math__1__11
sat-practice-test-5-digital,Math,1,12,Multiple Choice,,,"- - - - - - ~ For a snowstorm in a certain town, the minimum rate of snowfall recorded was 0.6 inches per hour, and the maximum rate of snowfall recorded was 1.8 inches per hour. Which inequality is true for all values of s, where s represents a rate of snowfall, in inches per hour, recorded for this snowstorm?",s ≥ 2.4,s ≥ 1.8,0 ≤ s ≤ 0.6,0.6 ≤ s ≤ 1.8,sat-practice-test-5-digital__Math__1__12
sat-practice-test-5-digital,Math,1,13,Free Response,,"- - - - - - ~ y = 4x y = x 2−12 A solution to the given system of equations is (x,y),",where x > 0. What is the value of x ? odule,,,,,sat-practice-test-5-digital__Math__1__13
sat-practice-test-5-digital,Math,1,15,Multiple Choice,,A right circular cylinder has a base diameter of,"22 centimeters and a height of 6 centimeters. What is the volume, in cubic centimeters, of the cylinder?",132π,264π,726π,"2,904π 35 CONTINUE",sat-practice-test-5-digital__Math__1__15
sat-practice-test-5-digital,Math,1,16,Free Response,,,,,"0,−",,,sat-practice-test-5-digital__Math__1__16
sat-practice-test-5-digital,Math,1,17,Free Response,,"At a particular track meet, the ratio of coaches to athletes is 1 to 26. If there are x coaches at the track","meet, which of the following expressions represents the number of athletes at the track meet? x",,,,,sat-practice-test-5-digital__Math__1__17
sat-practice-test-5-digital,Math,1,18,Multiple Choice,,"Kaylani used fabric measuring 5 yards in length to make each suit for a men’s choir. The relationship between the number of suits that Kaylani made, x, and the total length of fabric that she purchased y, in yards, is represented by the equation y−5x = 6.",What is the best interpretation of 6 in this context?,Kaylani made 6 suits.,Kaylani purchased a total of 6 yards of fabric.,Kaylani used a total of 6 yards of fabric to make the suits.,Kaylani purchased 6 yards more fabric than she used to make the suits. odule,sat-practice-test-5-digital__Math__1__18
sat-practice-test-5-digital,Math,1,20,Free Response,,,"In the triangle shown, what is the value of cos x° ? 37 CONTINUE",,,,,sat-practice-test-5-digital__Math__1__20
sat-practice-test-5-digital,Math,1,22,Multiple Choice,,(x+4)2 +(y−19)2 = 121,"The graph of the given equation is a circle in the xy-plane. The point (a,b)lies on the circle. Which of the following is a possible value for a ?",−16,−14,11,19,sat-practice-test-5-digital__Math__1__22
sat-practice-test-5-digital,Math,1,23,Multiple Choice,,,"- - - - - - ~ A right rectangular prism has a height of 9 inches. The length of the prism’s base is x inches, which is 7 inches more than the width of the prism’s base. Which function V gives the volume of the prism, in cubic inches, in terms of the length of the prism’s base?",V(x) = x(x+9)(x+7),V(x) = x(x+9)(x−7),V(x) = 9x(x+7),V(x) = 9x(x−7),sat-practice-test-5-digital__Math__1__23
sat-practice-test-5-digital,Math,1,24,Multiple Choice,,- - - - - - ~,Which of the following functions has(have) a minimum value at −3? I. f x = −6 3 x −3 II. g x = −3 6 x,I only,II only,I and II,Neither I nor II Mo,sat-practice-test-5-digital__Math__1__24
sat-practice-test-5-digital,Math,1,25,Multiple Choice,,The result of increasing the quantity x by 400% is,60. What is the value of x ?,12,15,240,340,sat-practice-test-5-digital__Math__1__25
sat-practice-test-5-digital,Math,1,26,Multiple Choice,,"The function f is defined by f(x) = ax 2+bx+c, where a, b, and c are constants. The graph of y = f(x) in the xy-plane passes through the points (7,0) and (−3,0). If a is an integer greater than 1,",which of the following could be the value of a+b ?,−6,−3,4,"5 ST If you finish before time is called, you m Do not turn to any ot odule",sat-practice-test-5-digital__Math__1__26
sat-practice-test-5-digital,Math,2,1,Multiple Choice,,"X l, 12345678910",For how many of the 10 data points is the actual y-value greater than the y-value predicted by the line of best fit?,3,4,6,7 Mo,sat-practice-test-5-digital__Math__2__1
sat-practice-test-5-digital,Math,2,2,Multiple Choice,,"- - - - - - - ~ - - - - - - - ~ ............................................................................................................................................................................................................................................................................................................... 15 Five Eretmochelys imbricata, a type of sea turtle, each have a nest. The table shows an original data set of the number of eggs that each turtle laid in its nest. Nest Number of eggs A 149 B 144 C 148 D 136 E 139 A sixth nest with 121 eggs is added to create a new",data set. Which of the following correctly compares the means of the two data sets?,The mean of the original data set is greater than the mean of the new data set.,The mean of the original data set is less than the mean of the new data set.,The means of both data sets are equal.,There is not enough information to compare the means.,sat-practice-test-5-digital__Math__2__2
sat-practice-test-5-digital,Math,2,3,Multiple Choice,,"\ \ \ u X 1 2 3 Time (seconds) ............................................................................................................................................................................................................................................................................................................... 9 A competitive diver dives from a platform into the water. The graph shown gives the height above the water y, in meters, of the diver x seconds after diving",from the platform. What is the best interpretation of the x-intercept of the graph?,The diver reaches a maximum height above the water at 1.6 seconds.,The diver hits the water at 1.6 seconds.,The diver reaches a maximum height above the water at 0.2 seconds.,The diver hits the water at 0.2 seconds. 43 CONTINUE,sat-practice-test-5-digital__Math__2__3
sat-practice-test-5-digital,Math,2,4,Multiple Choice,,"P t = 260 1.04 The function P models the population, in thousands, of a certain city t years after 2003. According to the model, the population is predicted to increase by 4%",every n months. What is the value of n ?,8,12,18,72,sat-practice-test-5-digital__Math__2__4
sat-practice-test-5-digital,Math,2,5,Multiple Choice,,,"- ---------------~ A veterinarian recommends that each day a certain rabbit should eat 25 calories per pound of the rabbit’s weight, plus an additional 11 calories. Which equation represents this situation, where c is the total number of calories the veterinarian recommends the rabbit should eat each day if the rabbit’s weight is x pounds?",c = 25x,c = 36x,c = 11x+25,c = 25x+11 Mo,sat-practice-test-5-digital__Math__2__5
sat-practice-test-5-digital,Math,2,6,Multiple Choice,),". ~,,,,,....- () 100200300400500600700800x Temperature (kelvins)","What is the estimated pressure of the argon, in psi, when the temperature is 600 kelvins?",6,12,300,600,sat-practice-test-5-digital__Math__2__6
sat-practice-test-5-digital,Math,2,7,Free Response,,d−30 d+30 −7 = −7,What is a solution to the given equation?,,,,,sat-practice-test-5-digital__Math__2__7
sat-practice-test-5-digital,Math,2,8,Multiple Choice,,Line r in the xy-plane has a slope of 4 and passes,"through the point 0,6 . Which equation defines line r ?",y = −6x+4,y = 6x+4,y = 4x−6,y = 4x+6 odule,sat-practice-test-5-digital__Math__2__8
sat-practice-test-5-digital,Math,2,9,Free Response,,,K v = v 2 . Which of the following is the best,,,,,sat-practice-test-5-digital__Math__2__9
sat-practice-test-5-digital,Math,2,10,Free Response,,,V,,,,,sat-practice-test-5-digital__Math__2__10
sat-practice-test-5-digital,Math,2,11,Free Response,,,"- - - - - - - - - ~ The scatterplot shows the relationship between two variables x and y. A line of best fit for the data is also shown. y ,_",,,,,sat-practice-test-5-digital__Math__2__11
sat-practice-test-5-digital,Math,2,12,Multiple Choice,,"- - - - - - - ~ At a movie theater, there are a total of 350 customers. Each customer is located in either theater A, theater B, or theater C. If one of these customers is selected at random, the probability of selecting a customer who is located in theater A is 0.48, and the probability of selecting a customer who is located in",theater B is 0.24. How many customers are located in theater C?,28,40,84,98,sat-practice-test-5-digital__Math__2__12
sat-practice-test-5-digital,Math,2,13,Free Response,,- - - - - - - ~,What is the slope of the graph of,,,,,sat-practice-test-5-digital__Math__2__13
sat-practice-test-5-digital,Math,2,16,Multiple Choice,,,"In △RST, the measure of R is 63°. Which of the following could be the measure, in degrees, of S ?",116,118,126,180 45 CONTINUE,sat-practice-test-5-digital__Math__2__16
sat-practice-test-5-digital,Math,2,18,Multiple Choice,,- - - - - - - ~,"If 4 2x = 16, what is the value of 6x ?",24,48,72,96,sat-practice-test-5-digital__Math__2__18
sat-practice-test-5-digital,Math,2,19,Multiple Choice,,- - - - - - - ~ 2x−y > 883,For which of the following tables are all the values of x and their corresponding values of y solutions to the given inequality?,x y 440 0 441 −2 442 −4,x y 440 0 442 −2 441 −4,x y 442 0 440 −2 441 −4,x y 442 0 441 −2 440 −4,sat-practice-test-5-digital__Math__2__19
sat-practice-test-5-digital,Math,2,20,Free Response,,- - - - - - - ~ 5y = 10x+11 −5y = 5x−21 The solution to the given system of equations is,"x,y . What is the value of 30x ? Mo",,,,,sat-practice-test-5-digital__Math__2__20
sat-practice-test-5-digital,Math,2,21,Free Response,,"A rectangle is inscribed in a circle, such that each vertex of the rectangle lies on the circumference of the circle. The diagonal of the rectangle is twice the length of the shortest side of the rectangle. The area","of the rectangle is 1,089 3 square units. What is the length, in units, of the diameter of the circle?",,,,,sat-practice-test-5-digital__Math__2__21
sat-practice-test-5-digital,Math,2,22,Multiple Choice,,Rectangles ABCD and EFGH are similar. The length of each side of EFGH is 6 times the length of the corresponding side of ABCD. The area of ABCD is,"54 square units. What is the area, in square units, of EFGH?",9,36,324,"1,944 odule",sat-practice-test-5-digital__Math__2__22
sat-practice-test-5-digital,Math,2,24,Multiple Choice,,,Which quadratic equation has no real solutions?,x 2+14x−49 = 0,x 2−14x+49 = 0,5x 2−14x−49 = 0,5x 2−14x+49 = 0 47 CONTINUE,sat-practice-test-5-digital__Math__2__24
sat-practice-test-5-digital,Math,2,26,Free Response,,"- - - - - - ~ A circle in the xy-plane has its center at −1,1 . Line t is tangent to this circle at the point 5,−4 .",Which of the following points also lies on line t ?,,,,,sat-practice-test-5-digital__Math__2__26
sat-practice-test-5-digital,Math,2,27,Free Response,,"- - - - - - ~ For an electric field passing through a flat surface perpendicular to it, the electric flux of the electric field through the surface is the product of the electric field’s strength and the area of the surface. A certain flat surface consists of two adjacent squares, where the side length, in meters, of the larger square is 3 times the side length, in meters, of the smaller square. An electric field with strength 29.00volts per meter passes uniformly through this surface, which is perpendicular to the electric field. If the total electric flux of the electric field through this surface is","4,640 volts · meters, what is the electric flux, in volts ·meters, of the electric field through the larger square? r module in the test.",,,,,sat-practice-test-5-digital__Math__2__27
sat-practice-test-6-digital,Reading and Writing,1,1,Multiple Choice,D,"............................................................................................................................................................................................................................................................................................................... 9 Text 1 In 1954 George Balanchine choreographed a production of The Nutcracker, a ballet by Pyotr Ilyich Tchaikovsky. It has since become a tradition for hundreds of dance companies in North America to stage The Nutcracker each year. But the show is stuck in the past, with an old-fashioned story and references, so it should no longer be produced. Ballet needs to create new traditions if it wants to stay relevant to contemporary audiences. Text 2 The Nutcracker is outdated, but it should be kept because it’s a holiday favorite and provides substantial income for some dance companies. Although it can be behind the times, there are creative ways to update the show. For example, Debbie Allen successfully modernized the story. Her show Hot Chocolate Nutcracker combines ballet, tap, hip-hop, and other styles, and it has been gaining in popularity since it opened in 2009.","Based on the texts, how would the author of Text 2 most likely respond to the underlined claim in Text 1?",By questioning the idea that the story of The Nutcracker is stuck in the past and by rejecting the suggestion that contemporary audiences would enjoy an updated version,By agreeing that contemporary audiences have largely stopped going to see performances of The Nutcracker because it’s so old-fashioned,By pointing out that most dance companies could increase their incomes by offering modernized versions of The Nutcracker,By suggesting that dance companies should consider offering revised versions of The Nutcracker instead of completely rejecting the show 5 CONTINUE,sat-practice-test-6-digital__Reading_and_Writing__1__1
sat-practice-test-6-digital,Reading and Writing,1,2,Multiple Choice,B,"- - - - - - - - - ~ In editor Lisa Yaszek’s introduction to her anthology The Future Is Female! More Classic Science Fiction Stories by Women, Yaszek identifies an increasing sense of _______ feminist mode of writing in the 1970s, in contrast to many woman-authored science fiction stories of the 1920s to 1960s whose politics were less deliberately signaled.",Which choice completes the text with the most logical and precise word or phrase?,a prudently,an overtly,a cordially,an inadvertently Mo,sat-practice-test-6-digital__Reading_and_Writing__1__2
sat-practice-test-6-digital,Reading and Writing,1,3,Multiple Choice,B,"_______ the long-standing trend of overemphasizing teenagers and young adults in research on social media use, scholars have recently begun to expand their focus to include the fastest-growing cohort of social media users: senior citizens.",Which choice completes the text with the most logical and precise word or phrase?,Exacerbating,Redressing,Epitomizing,Precluding,sat-practice-test-6-digital__Reading_and_Writing__1__3
sat-practice-test-6-digital,Reading and Writing,1,4,Multiple Choice,D,"The following text is adapted from James Baldwin’s 1956 novel Giovanni’s Room. The narrator is riding in a taxi down a street lined with food vendors and shoppers in Paris, France. The multitude of Paris seems to be dressed in blue every day but Sunday, when, for the most part, they put on an unbelievably festive black. Here they were now, in blue, disputing, every inch, our passage, with their wagons, handtrucks, their bursting baskets carried at an angle steeply self-confident on the back.","As used in the text, what does the word “disputing” most nearly mean?",Arguing about,Disapproving of,Asserting possession of,Providing resistance to odule,sat-practice-test-6-digital__Reading_and_Writing__1__4
sat-practice-test-6-digital,Reading and Writing,1,6,Free Response,,,,,,,,sat-practice-test-6-digital__Reading_and_Writing__1__6
sat-practice-test-6-digital,Reading and Writing,1,7,Multiple Choice,B,"When classical pianist Martha Argerich performs, it appears as if the music is coming to her spontaneously. She’s highly skilled technically, but because of how freely she plays and her willingness to take risks, she seems relaxed and natural. Her apparent ease, however, is due to a tremendous amount of preparation. Despite Argerich’s experience and virtuosity, she never takes for granted that she knows a piece of music. Instead, she approaches the music as if encountering it for the first time and tries to understand it anew.",Which choice best states the main purpose of the text?,To provide details about how Argerich identifies which pieces of music she will perform,To assert that Argerich’s performances look effortless because of how she prepares for them,To discuss the kinds of music Argerich feels most comfortable encountering for the first time,To describe the unique way that Argerich approaches music she hasn’t performed before Mo,sat-practice-test-6-digital__Reading_and_Writing__1__7
sat-practice-test-6-digital,Reading and Writing,1,8,Multiple Choice,B,"The following text is adapted from Herman Melville’s 1855 novel Israel Potter. Israel is a young man wandering through New England during the late eighteenth century. He hired himself out for three months; at the end of that time to receive for his wages two hundred acres of land lying in New Hampshire. [...] His employer proving false to the contract in the matter of the land, and there being no law in the country to force him to fulfil it, Israel—who, however brave-hearted, and even much of a dare-devil upon a pinch, seems nevertheless to have evinced, throughout many parts of his career, a singular patience and mildness—was obliged to look round for other means of livelihood than clearing out a farm for himself in the wilderness.",Which choice best describes the function of the underlined portion in the text as a whole?,It implies that Israel treasures a particular characteristic of his personality when that characteristic should usually be regarded as a flaw.,"It suggests that if not for a certain aspect of his character, Israel might not have been as easily thwarted in his ambition to establish a farm.",It shows why Israel would not have been able to undertake the enormous amount of labor necessary to run a farm even if he had owned the necessary property.,"It explains why, when the situation requires it, Israel is able to undertake courageous acts that others would generally avoid. odule",sat-practice-test-6-digital__Reading_and_Writing__1__8
sat-practice-test-6-digital,Reading and Writing,1,10,Free Response,D,,,,,,,sat-practice-test-6-digital__Reading_and_Writing__1__10
sat-practice-test-6-digital,Reading and Writing,1,11,Multiple Choice,,"Annual Car Production in the United States, 1910–1925 Number Number of of cars companies Year produced producing cars 1910 123,990 320 1915 548,139 224 1920 1,651,625 197 1925 3,185,881 80 A student is using the table as part of a social studies class presentation on the US auto industry in the early twentieth century. The student notes that, according to the table, from 1910 to 1925 _______",Which choice most effectively uses data from the table to complete the statement?,the number of cars produced increased but the number of companies producing cars decreased.,both the number of cars produced and the number of companies producing cars remained unchanged.,the number of cars produced decreased but the number of companies producing cars remained unchanged.,both the number of cars produced and the number of companies producing cars increased. Mo,sat-practice-test-6-digital__Reading_and_Writing__1__11
sat-practice-test-6-digital,Reading and Writing,1,12,Multiple Choice,A,,"External shopping cues are a type of marketing that uses obvious messaging—a display featuring a new product, for example, or a “buy one, get one free” offer—to entice consumers to make spontaneous purchases. In a study, data scientist Sam K. Hui and colleagues found that this effect can also be achieved with a less obvious cue: rearranging a store’s layout. The researchers explain that trying to find items in new locations causes shoppers to move through more of the store, exposing them to more products and increasing the likelihood that they’ll buy an item they hadn’t planned on purchasing. Which response from a survey given to shoppers who made a purchase at a retail store best supports the researchers’ explanation?","“I needed to buy some cleaning supplies, but they weren’t in their regular place. While I was looking for them, I saw this interesting notebook and decided to buy it, too.”","“I didn’t buy everything on my shopping list today. I couldn’t find a couple of the items in the store, even though I looked all over for them.”","“The store sent me a coupon for a new brand of soup, so I came here to find out what kinds of soup that brand offers. I decided to buy a few cans because I had the coupon.”","“This store is larger than one that’s closer to where I live, and it carries more products. I came here to buy some things that the other store doesn’t always have.” odule",sat-practice-test-6-digital__Reading_and_Writing__1__12
sat-practice-test-6-digital,Reading and Writing,1,14,Free Response,C,,,,,,,sat-practice-test-6-digital__Reading_and_Writing__1__14
sat-practice-test-6-digital,Reading and Writing,1,15,Multiple Choice,B,"Number of Lizard Species by Average Percent of Maximal Speed Used When Pursuing Prey or Escaping Predators 9~-------------- ""' -u~ 8+------------~~- Q) ~ 7 6-+-------------i 5-+-------------i 4+-------------i 3 +--------------r----,--i 2 +--------r----,-------r----,--i 1-+-----< 0 ...,____.._ _ __,_ Percent of maximal speed I□ escaping ■ pursuing It may seem that the optimal strategy for an animal pursuing prey or escaping predators is to move at maximal speed, but the energy expense of exploiting full speed capacity can disfavor such a strategy even in escape contexts, as evidenced by the fact that _______",Which choice most effectively uses data from the graph to complete the text?,most lizard species use about the same percentage of their maximal speed when escaping predation as they do when pursuing prey.,multiple lizard species move at an average of less than 90% of their maximal speed while escaping predation.,"more lizard species use, on average, 90%–100% of their maximal speed while escaping predation than use any other percentage of their maximal speed.","at least 4 lizard species use, on average, less than 100% of their maximal speed while pursuing prey. odule",sat-practice-test-6-digital__Reading_and_Writing__1__15
sat-practice-test-6-digital,Reading and Writing,1,18,Multiple Choice,B,"Consumer psychologists have theorized that the likelihood that people who identify as ethical consumers—meaning that they strive to purchase goods and services with positive or neutral social and ecological effects—will purchase a given product positively correlates with their perception of that product’s effects. In a recent study of the attitudes of self-identified ethical consumers toward purchasing a specific mobile phone coming to market, researchers found that, on average, study participants in their twenties rated the phone’s social and ecological effects much less positively than did participants in other age groups. All other things being equal, if consumer psychologists’ theory is correct, this finding suggests that _______",Which choice most logically completes the text?,the phone is less appealing to ethical consumers in their twenties than other similar phones on the market are.,ethical consumers in their twenties are less likely to purchase the phone than ethical consumers in other age groups are.,there is not a meaningful difference in the likelihood of purchasing the phone among ethical consumers in different age groups.,ethical consumers in their twenties are more likely than ethical consumers in other age groups to consider a phone’s social and ecological effects when deciding whether to purchase that phone. Mo,sat-practice-test-6-digital__Reading_and_Writing__1__18
sat-practice-test-6-digital,Reading and Writing,1,19,Multiple Choice,A,"The Boston Saloon was one of the most popular African American–owned establishments in nineteenth-century Nevada. _______ by businessman William A.G. Brown, the saloon was known to offer elegant accommodations and an inclusive environment.",Which choice completes the text so that it conforms to the conventions of Standard English?,Created,Creates,Creating,Create,sat-practice-test-6-digital__Reading_and_Writing__1__19
